0:00:01.00 --> 0:00:02.71 | 各位，
0:00:02.71 --> 0:00:08.11 | 我一直在跟大家聊我用我的代理系统发布了很多东西，
0:00:08.11 --> 0:00:11.93 | 很多人问我你是怎么设置的？你用了哪些技能？
0:00:11.93 --> 0:00:13.37 | 系统是怎么运作的？
0:00:13.37 --> 0:00:16.41 | 所以我想，不如做个视频，
0:00:16.41 --> 0:00:22.93 | 彻底拆解一下过去6个月我是怎么构建自己的代理系统的，
0:00:22.93 --> 0:00:26.11 | 基本上解释我做了什么、怎么运作的，
0:00:26.11 --> 0:00:30.00 | 这样你们也能基于这些例子构建自己的系统。
0:00:30.00 --> 0:00:33.19 | 嗯，这基本上是一个概览性的深入讲解。
0:00:33.19 --> 0:00:37.67 | 我以后可以针对特定部分做更深入的探讨，
0:00:37.67 --> 0:00:40.52 | 也许是一些代码部分，如果有人感兴趣的话。
0:00:40.52 --> 0:00:45.48 | 所以，如果想看的话，就在下面留言吧。
0:00:45.48 --> 0:00:50.78 | 嗯，话不多说，我来解释一下我一直在做什么。我觉得6个月前，
0:00:50.78 --> 0:00:55.03 | 我还在终端里经常和Claude Code聊天，
0:00:55.03 --> 0:00:57.20 | 总是得开着笔记本电脑，我开始意识到，
0:00:57.20 --> 0:01:00.98 | 尤其是随着Twitter上的开发动态，这样做挺蠢的。
0:01:00.98 --> 0:01:04.00 | 比如你想批量处理事情，4小时后回来，它已经完成了。
0:01:04.00 --> 0:01:05.69 | 我想要有定时任务。
0:01:05.69 --> 0:01:07.94 | 我想要有触发器来启动任务。
0:01:07.94 --> 0:01:11.15 | 所以，基本上这几个月我一直在构建这个系统，
0:01:11.15 --> 0:01:13.55 | 就是你现在屏幕上看到的。第一个月，
0:01:13.55 --> 0:01:17.81 | 基本上是我自己用Claude Code编程，
0:01:17.81 --> 0:01:20.75 | 之后这个系统就开始自我构建了，
0:01:20.75 --> 0:01:23.35 | 它运行着我大部分的业务和编码工作。
0:01:23.35 --> 0:01:27.59 | 我基本上把95%的任务都自动化到这个系统里了，
0:01:27.59 --> 0:01:31.00 | 我不再手动做那么多事了，尤其是在编程方面。
0:01:31.00 --> 0:01:33.79 | 所以我基本上叫它Agent OS。
0:01:33.79 --> 0:01:38.86 | 我没给它起名字，但基本上在一个概览里，那个屏幕在哪？
0:01:38.86 --> 0:01:43.08 | 我设定一个目标，目标可以是任何东西，
0:01:43.08 --> 0:01:48.41 | 比如发布一个新的落地页，要么我把它分解成任务，
0:01:48.41 --> 0:01:52.02 | 像常见的风格，要么我把它放进目标里，这个稍后再细说。
0:01:52.02 --> 0:01:56.39 | 基本上，一个任务的状态是待办、进行中、审查、完成。
0:01:56.39 --> 0:02:01.00 | 每个任务的主题下，一个代理就开始处理它。
0:02:01.00 --> 0:02:05.05 | 它可以访问我的GitHub仓库，可以访问文件系统，
0:02:05.05 --> 0:02:11.27 | 基本上所有东西都设置在一个独特的容器里，
0:02:11.27 --> 0:02:18.31 | 启动时拉取仓库，访问我的文件系统，完成任务，
0:02:18.31 --> 0:02:22.27 | 然后结束、提交、清理。
0:02:22.27 --> 0:02:26.84 | 所以，每次会话后，这个容器就被丢弃，
0:02:26.84 --> 0:02:30.51 | 下一次会话必须重新干净地初始化整个项目，
0:02:30.51 --> 0:02:34.00 | 这样它就能开始处理下一个任务。
0:02:34.00 --> 0:02:37.36 | 嗯，基本上所有这些任务都是由代理运行的。
0:02:37.36 --> 0:02:40.91 | 比如，我有一个规划代理，我有一个高级开发，
0:02:40.91 --> 0:02:44.50 | 他们有自己的特定提示词和技能集，
0:02:44.50 --> 0:02:47.13 | 有自己的MCP可以访问。
0:02:47.13 --> 0:02:51.59 | 嗯，他们有自己的知识，有自己的文件系统，
0:02:51.59 --> 0:02:57.07 | 基本上只要他们需要我，而且只有当他们需要我时，
0:02:57.07 --> 0:02:59.71 | 他们才会在我的收件箱里给我发消息。
0:02:59.71 --> 0:03:02.45 | 所以，我不需要管理他们，我不需要等他们。
0:03:02.45 --> 0:03:05.57 | 我可以到处走走，可以去跑步，可以和妻子出去，
0:03:05.57 --> 0:03:10.59 | 基本上他们会一直按步骤走，直到卡住需要我帮忙，
0:03:10.59 --> 0:03:13.00 | 然后发收件箱消息。
0:03:13.00 --> 0:03:13.45 | 嗯，所以，这就是概览，
0:03:13.45 --> 0:03:17.09 | 我现在就给你看看这个工具是怎么设置的。
0:03:17.09 --> 0:03:19.21 | 这就是工具的样子。
0:03:19.21 --> 0:03:23.55 | 侧边栏的所有项目都是不同的方面。
0:03:23.55 --> 0:03:27.37 | 我在想怎么解释它运作起来最容易。
0:03:27.37 --> 0:03:31.93 | 我觉得我就从下往上讲吧。
0:03:31.93 --> 0:03:37.04 | 基本上，每个代理，我可以先展示代理。
0:03:37.04 --> 0:03:39.45 | 所以，我有一堆代理。
0:03:39.45 --> 0:03:43.00 | 我有一个默认代理、高级开发、规划，等等。
0:03:43.00 --> 0:03:47.70 | 我们来看看规划代理。
0:03:47.70 --> 0:03:53.40 | 规划代理，我可以设置名字、标题、用哪个模型，还有提示词。
0:03:53.40 --> 0:03:57.39 | 有一个Agent OS基础提示词。
0:03:57.39 --> 0:04:02.19 | 基本上，在这里我解释它们能访问哪些文件、哪些系统、
0:04:02.19 --> 0:04:05.55 | 哪些MCP，然后我有特定的规划代理。
